mes;ciudad;min_temp;max_temp;precipitacion;humedad_%
Enero;Madrid;2;12;43;77
Enero;Barcelona;7;14;46;73
Enero;Valencia;7;16;35;63
Enero;Sevilla;6;17;53;71
Febrero;Madrid;4;12;35;65
Febrero;Barcelona;5;15;29;71
Febrero;Valencia;8;17;32;61
Febrero;Sevilla;7;18;54;68
Marzo;Madrid;6;16;26;54
Marzo;Barcelona;7;16;42;71
Marzo;Valencia;9;19;35;61
Marzo;Sevilla;8;21;38;61
Abril;Madrid;7;18;47;55
Abril;Barcelona;8;18;49;71
Abril;Valencia;11;20;37;60
Abril;Sevilla;10;23;57;60
Mayo;Madrid;11;21;52;54
Mayo;Barcelona;12;20;59;73
Mayo;Valencia;14;23;34;65
Mayo;Sevilla;13;26;34;57
Junio;Madrid;15;27;25;46
Junio;Barcelona;16;24;42;72
Junio;Valencia;18;26;23;65
Junio;Sevilla;17;31;13;52
Julio;Madrid;18;31;15;39
Julio;Barcelona;19;28;20;69
Julio;Valencia;21;29;9;66
Julio;Sevilla;19;35;2;47
Agosto;Madrid;18;31;10;46
Agosto;Barcelona;19;28;61;72
Agosto;Valencia;21;30;19;65
Agosto;Sevilla;20;35;6;52
Septiembre;Madrid;15;26;28;50
Septiembre;Barcelona;17;26;85;73
Septiembre;Valencia;19;28;51;67
Septiembre;Sevilla;18;32;23;54
Octubre;Madrid;10;19;49;64
Octubre;Barcelona;13;22;91;75
Octubre;Valencia;14;24;74;66
Octubre;Sevilla;14;26;62;63
Noviembre;Madrid;6;13;56;70
Noviembre;Barcelona;8;17;58;74
Noviembre;Valencia;10;20;51;65
Noviembre;Sevilla;8;17;58;74
Diciembre;Madrid;4;10;56;74
Diciembre;Barcelona;6;14;51;73
Diciembre;Valencia;8;17;52;65
Diciembre;Sevilla;7;17;95;75
;;;;;
;;;;;
